,RandomForestRegressor
2012-01-01,0.0
2012-01-02,652.1946713121546
2012-01-03,992.9822744032978
2012-01-04,1087.0896817796545
2012-01-05,1184.0073389505671
2012-01-06,1192.1190501501517
2012-01-07,340.43546222841053
2012-01-08,88.40327748759492
2012-01-09,0.0
2012-01-10,848.7344898836286
2012-01-11,1099.164264998561
2012-01-12,1180.462640736504
2012-01-13,1196.8052211111278
2012-01-14,334.17079599473175
2012-01-15,73.21691644421631
2012-01-16,870.6153941159209
2012-01-17,972.7223003437028
2012-01-18,1085.0872874297568
2012-01-19,1186.5020104360703
2012-01-20,1192.8893671956002
2012-01-21,346.4292775483613
2012-01-22,79.93399038099427
2012-01-23,882.1386895418589
2012-01-24,1003.4024962991092
2012-01-25,1099.0219784205783
2012-01-26,1180.3955857608942
2012-01-27,1197.942951607246
2012-01-28,356.7420277377375
2012-01-29,84.2541566822207
2012-01-30,872.6806071069332
2012-01-31,969.2282936101147
2012-02-01,1080.8023627478156
2012-02-02,1187.6672689228628
2012-02-03,1195.745217781234
2012-02-04,355.66143968542843
2012-02-05,77.41096077928802
2012-02-06,871.3716710242205
2012-02-07,976.7682807653578
2012-02-08,1087.5525851217126
2012-02-09,1189.751030211926
2012-02-10,1202.2027994094806
2012-02-11,344.14476520543553
2012-02-12,77.4924464220494
2012-02-13,869.8402049977398
2012-02-14,969.7147245897912
2012-02-15,1082.1775069504763
2012-02-16,1185.7093597949372
2012-02-17,1200.9790309576697
2012-02-18,352.1852360366585
2012-02-19,77.57838785792164
2012-02-20,872.7880961714092
2012-02-21,976.263574482479
2012-02-22,1082.8391454149598
2012-02-23,1185.0511839915623
2012-02-24,1204.1788671068969
2012-02-25,345.2614572420462
2012-02-26,77.10695126764305
2012-02-27,869.2890213327721
2012-02-28,984.3425629196288
2012-02-29,1094.8921599378957
2012-03-01,1188.244501179576
2012-03-02,1205.9055022775171
2012-03-03,340.55109324296706
2012-03-04,78.58697962105539
2012-03-05,872.8168679139045
2012-03-06,1000.6146463608206
2012-03-07,1084.3555194383891
2012-03-08,1189.1972126470394
2012-03-09,1194.009042366145
2012-03-10,344.5679730181927
2012-03-11,80.19526360765376
2012-03-12,882.3979112476507
2012-03-13,1000.7431482228152
2012-03-14,1093.0875615569112
2012-03-15,1193.8016759792272
2012-03-16,1203.7496748591689
2012-03-17,344.77836260020285
2012-03-18,77.69518769088579
2012-03-19,0.0
2012-03-20,874.3190342484869
2012-03-21,1117.1752185662597
2012-03-22,1185.9904694364948
2012-03-23,1212.9833057200808
2012-03-24,323.98559817740454
2012-03-25,86.01624724297076
2012-03-26,874.9492042320503
2012-03-27,1003.7311182067492
2012-03-28,1101.4352205176451
2012-03-29,1201.923171131489
2012-03-30,1217.9869336314378
2012-03-31,366.4203931008191
2012-04-01,83.1714451131468
2012-04-02,947.1901418852832
2012-04-03,1164.2563742442617
2012-04-04,1178.0726426586232
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,119.26592967295674
2012-04-08,83.92621518588885
2012-04-09,879.4545008136771
2012-04-10,980.7205787346292
2012-04-11,1093.851271503363
2012-04-12,1201.0307196138924
2012-04-13,1218.4770048728817
2012-04-14,347.4339893242945
2012-04-15,78.38228285895195
2012-04-16,885.6915739489948
