,Ridge,Lasso,ElasticNet,KNeighborsRegressor,RandomForestRegressor,GradientBoostingRegressor,SVR,value
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02,391.0291655649589,451.616710870462,480.55029809266273,184.85424764826294,652.1946713121546,313.5295639606403,403.4506719250732,188.0
2012-01-03,1026.4544079306575,1072.6105734881937,1050.042781393498,473.9348264171052,992.9822744032978,816.9789821423385,1100.367228703709,482.0
2012-01-04,1380.8807040682725,1376.0416544715954,1359.1979246362207,911.4887636693587,1087.0896817796545,1036.436124776782,1228.693650502451,927.0
2012-01-05,1328.4043569764974,1349.8910181176689,1328.443157974349,1139.6067714053725,1184.0073389505671,1209.9433306725591,1365.3435852714342,1159.0
2012-01-06,936.3575160539941,964.5760711417274,964.2111898782005,979.3342056253279,1192.1190501501515,1153.2932651951903,1153.2498722282262,996.0
2012-01-07,489.19764193523844,537.207737626736,551.8832727057909,238.93394775800186,340.43546222841053,334.83394050356924,461.2029662684635,243.0
2012-01-08,325.78956082012564,387.89097008345715,401.34420247286505,1.5068677957173652e-12,88.40327748759492,0.0,167.8831688583969,0.0
2012-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-10,819.9673216760539,841.6145349699515,846.2091393256649,685.3372904827844,848.7344898836286,779.8768022261288,788.3117342414873,697.0
2012-01-11,1340.6554665042436,1331.1430777926178,1300.5483780784737,940.0035146363576,1099.164264998561,1054.8744502964882,1206.0062029365176,956.0
2012-01-12,1282.9411615739982,1305.378439530673,1271.4380461793612,984.2505419989403,1180.462640736504,1095.9124648292009,1332.5627094225717,1001.0
2012-01-13,899.2043975573248,921.4845331002514,908.461802559124,1150.422711427339,1196.8052211111278,1137.4616363856103,1153.5436754071616,1170.0
2012-01-14,478.4655215263232,472.5631509909897,488.6328477450476,365.775426197409,334.17079599473175,301.54617542071514,458.50927205830504,372.0
2012-01-15,308.83810052499217,315.52586274435953,330.1193291360961,0.9832672747242022,73.21691644421631,1.9456864514317365,206.71883233557077,1.0
2012-01-16,585.1480554584164,580.4019719611716,599.4103047845351,791.5301561529994,870.6153941159209,785.6208335585915,666.3977170360359,805.0
2012-01-17,1031.8677460861502,1042.307202420326,1034.216776512688,897.7230218232188,972.7223003437028,911.6159331926141,1104.1153239674145,913.0
2012-01-18,1376.4181227733181,1357.905215585708,1346.9833922342596,1031.4473711857097,1085.0872874297568,1038.6986848048916,1208.2009492438915,1049.0
2012-01-19,1345.9108865228864,1319.073649136972,1314.9064344402482,962.6186619550176,1186.5020104360703,1088.3207130705584,1318.2803159405573,979.0
2012-01-20,946.2424597214193,938.1264229234628,949.993983358916,1000.9660856692611,1192.8893671956002,1065.2631104349787,1115.401683695403,1018.0
2012-01-21,499.000878976318,534.9556038453045,549.926228079745,306.7793897139576,346.4292775483613,334.9433725572359,463.86427946840587,312.0
2012-01-22,324.8332391038665,376.37327900762114,390.3336839540339,1.2694248054741022e-14,79.93399038099427,0.0,156.11919262149627,0.0
2012-01-23,564.3832802924959,605.2499277900249,605.745206753652,788.5803543288271,882.1386895418589,792.6322310944529,632.5527204695537,802.0
2012-01-24,1025.1171443304884,1058.8889909126622,1041.695389798146,878.0576763287297,1003.4024962991091,942.8097355909733,1094.859919953938,893.0
2012-01-25,1359.973342486365,1384.7001903150247,1356.6231757859082,1012.7652929659506,1099.0219784205785,1097.224157166137,1212.4796308761925,1030.0
2012-01-26,1316.6176461898253,1347.1685906369437,1324.622530255444,1089.460140394436,1180.3955857608942,1107.904538293774,1346.0767899407979,1108.0
2012-01-27,941.8949190050977,945.6458309576877,952.474776833608,1031.44737118571,1197.942951607246,1101.6467525746125,1128.3897066831644,1049.0
2012-01-28,502.85316765025567,515.5929390114294,538.7784354491048,362.82562437323503,356.7420277377375,344.5391729383434,443.83833709257203,369.0
2012-01-29,345.84264057457386,347.97157288464285,376.1192330737843,1.9665345494484003,84.2541566822207,17.448575979018855,153.78523273874234,2.0
2012-01-30,583.507335355736,575.3389109658306,590.8930083422243,809.2289670980348,872.6806071069332,815.2612714715544,650.4994797990298,823.0
2012-01-31,1041.4632898844723,1033.5545449976448,1026.633137277119,1028.4975693615324,969.2282936101147,931.4875190453284,1100.2866053031455,1046.0
