,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2012-01-01,0.0,-0.35335379675084627,0.8660254037844387,0.49999999999999994,1.0,6.432490598706546e-16,0.6234898018587334,-0.7818314824680299,1.0,0.0,1.0,1913.6942857142858,1870.4271428571428,1875.8214285714287,1967.8342857142854,468.0,339.0,148.0
2012-01-02,188.0,-1.1298508611771791,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,1.0,0.0,0.0,1.0,0.0,1913.2914285714287,1872.0785714285716,1877.5157142857145,1972.2242857142858,557.0,297.0,125.0
2012-01-03,482.0,-1.395092700936328,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,1913.8342857142857,1878.1557142857143,1879.42,1980.5185714285712,344.0,266.0,371.0
2012-01-04,927.0,-0.5597712686678132,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,1914.3771428571429,1885.6785714285713,1882.7471428571428,1984.85,516.0,327.0,296.0
2012-01-05,1159.0,0.012938159158372842,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,1914.92,1893.2014285714286,1887.2185714285713,1989.1814285714286,323.0,367.0,408.0
2012-01-06,996.0,-0.435248784486529,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,1917.037142857143,1900.7242857142858,1891.69,1993.5128571428572,472.0,241.0,353.0
2012-01-07,243.0,-0.5448772817473437,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,1918.4628571428573,1907.0428571428572,1896.1614285714284,1994.5,657.0,185.0,338.0
2012-01-08,0.0,-0.35335379675084627,0.8660254037844387,0.49999999999999994,0.992708874098054,0.12053668025532305,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,1921.3814285714286,1909.5185714285712,1901.1557142857143,1996.3642857142859,742.0,271.0,365.0
2012-01-09,0.0,-1.573859356516438,0.8660254037844387,0.49999999999999994,0.970941817426052,0.23931566428755774,1.0,0.0,1.0,0.0,1.0,1924.4957142857145,1913.5228571428572,1906.84,1993.4085714285716,628.0,201.0,171.0
2012-01-10,697.0,-0.821664796870227,0.8660254037844387,0.49999999999999994,0.970941817426052,0.23931566428755774,0.6234898018587336,0.7818314824680298,0.0,1.0,1.0,1928.9285714285713,1914.7042857142858,1913.1928571428573,1986.1399999999999,560.0,226.0,118.0
